trajectory,time,lon,lat
133,2010-01-08,-45.164585,-23.493498
134,2010-01-08,-45.14537,-23.499744
135,2010-01-08,-45.155426,-23.499664
136,2010-01-08,-45.145344,-23.499687
137,2010-01-08,-45.145336,-23.499657
138,2010-01-08,-45.14533,-23.499624
139,2010-01-08,-45.14533,-23.49959
140,2010-01-08,-45.16365,-23.49899
141,2010-01-08,-45.15539,-23.499508
142,2010-01-08,-45.145325,-23.499521
143,2010-01-08,-45.146206,-23.501173
144,2010-01-08,-45.14532,-23.499454
145,2010-01-08,-45.14543,-23.501417
146,2010-01-08,-45.14543,-23.501406
147,2010-01-08,-45.1669,-23.496231
148,2010-01-08,-45.14543,-23.501394
149,2010-01-08,-45.155373,-23.499273
150,2010-01-08,-45.147305,-23.499271
151,2010-01-08,-45.14531,-23.499249
152,2010-01-08,-45.14543,-23.501348
153,2010-01-08,-45.155155,-23.49987
154,2010-01-08,-45.15536,-23.499105
155,2010-01-08,-45.145306,-23.499113
156,2010-01-08,-45.155357,-23.499073
157,2010-01-08,-45.145428,-23.501303
158,2010-01-08,-45.155354,-23.499006
159,2010-01-08,-45.15535,-23.498972
160,2010-01-08,-45.15535,-23.49894
161,2010-01-08,-45.155346,-23.498905
162,2010-01-08,-45.145428,-23.501245
163,2010-01-08,-45.145428,-23.501234
164,2010-01-08,-45.146965,-23.502802
165,2010-01-08,-45.15534,-23.498806
166,2010-01-08,-45.145424,-23.501211
167,2010-01-08,-45.155334,-23.498737
168,2010-01-08,-45.15533,-23.498705
169,2010-01-08,-45.145424,-23.501177
170,2010-01-08,-45.145283,-23.49867
171,2010-01-08,-45.14382,-23.4983
172,2010-01-08,-45.145283,-23.498636
173,2010-01-08,-45.145424,-23.501143
174,2010-01-08,-45.13518,-23.505964
175,2010-01-08,-45.155315,-23.498505
176,2010-01-08,-45.145275,-23.498499
177,2010-01-08,-45.15531,-23.498438
178,2010-01-08,-45.164684,-23.494183
179,2010-01-08,-45.155308,-23.49837
180,2010-01-08,-45.14527,-23.498398
181,2010-01-08,-45.155304,-23.498337
182,2010-01-08,-45.155304,-23.498302
183,2010-01-08,-45.1553,-23.49827
184,2010-01-08,-45.155296,-23.498236
