trajectory,time,lon,lat
59950,2016-01-15,-48.080086,-25.294453
59951,2016-01-15,-48.068657,-25.283388
59952,2016-01-15,-48.17723,-25.39318
59953,2016-01-08,-47.865494,-25.12402
59954,2016-01-15,-48.079903,-25.292826
59955,2016-01-15,-48.105663,-25.319096
59956,2016-01-15,-48.066654,-25.279749
59957,2016-01-15,-48.06199,-25.275555
59958,2016-01-15,-48.07118,-25.284286
59959,2016-01-15,-48.070885,-25.284748
59960,2016-01-15,-48.062733,-25.27484
59961,2016-01-15,-48.06561,-25.278696
59962,2016-01-15,-48.061558,-25.274271
59963,2016-01-08,-47.898754,-25.090368
59964,2016-01-15,-48.06679,-25.28043
59965,2016-01-15,-48.06598,-25.279617
59966,2016-01-15,-48.06152,-25.274734
59967,2016-01-15,-48.059742,-25.27325
59968,2016-01-15,-48.06106,-25.274302
59969,2016-01-15,-48.05948,-25.272425
59970,2016-01-08,-47.89664,-25.090221
59971,2016-01-08,-47.903435,-25.080038
59972,2016-01-08,-47.904922,-25.074257
59973,2016-01-15,-48.05704,-25.271036
59974,2016-01-15,-48.060738,-25.273603
59975,2016-01-15,-48.05952,-25.27205
59976,2016-01-15,-48.056686,-25.270933
59977,2016-01-15,-48.06016,-25.272177
59978,2016-01-08,-47.896103,-25.0924
59979,2016-01-15,-48.057262,-25.269472
59980,2016-01-15,-48.056232,-25.269575
59981,2016-01-15,-48.05556,-25.268944
59982,2016-01-15,-48.058754,-25.271334
59983,2016-01-15,-48.055454,-25.269232
59984,2016-01-15,-48.054768,-25.269186
59985,2016-01-15,-48.055496,-25.268312
59986,2016-01-15,-48.0536,-25.267834
59987,2016-01-15,-48.054672,-25.268509
59988,2016-01-15,-48.055397,-25.268412
59989,2016-01-15,-48.05425,-25.268644
59990,2016-01-15,-48.053654,-25.267519
59991,2016-01-15,-48.053467,-25.267494
59992,2016-01-08,-47.89761,-25.087664
59993,2016-01-15,-48.055412,-25.267908
59994,2016-01-15,-48.052177,-25.266094
